,PicoE_CA,NanoE_CA,Cry_CA,Archaeplastida,Picobiliphyta,Filosa-Chlorarachnea,Bacillariophyta,Bolidophyceae,Pelagophyceae,Phaeophyceae,Raphidophyceae,MOCH-2,Apicomplexa,Ichthyosporea,Ascomycota,Basidiomycota,Chytridiomycota,Cryptomycota,Oomycota,Pirsonia,Dino-Group-I,Dino-Group-II,Dino-Group-III,Dino-Group-V,Amoebozoa,Apusozoa,Ciliophora,Centroheliozoa,Telonemia,Choanoflagellida,Acantharea,Filosa-Thecofilosea,Bicoecea,MAST,MOCH-3,MOCH-4,Cryptophyta,Haptophyta,Dinophyceae,Chrysophyceae-Synurophyceae,Dictyochophyceae,Euglyphida,Phototrophs,Parasites,Phagotrophs,Mixotrophs,Syndiniales+Dinophyceae,Heterotroph,Bacillariophyta+Dinophyceae,Photo/Parasite,Photo/Phago,Photo/Mixo,Photo/Hetero,Parasite/Phago,Parasite/Mixo,Parasite/Hetero,Phago/Mixo,Phago/Hetero,Mixo/Hetero,Bacillariophyta/Dinophyceae,Ascomycota/Fungi,Syndiniales/Dinophyceae,Chao1_18S,Shannon_18S,Simpson_18S,OTUrichness_18S
denovo126D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__uncultured; D_6__uncultured bacterium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo261D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Acidimicrobiales; D_4__Sva0996 marine group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007104438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009709944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo271D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo281D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhodobiaceae; D_5__Rhodobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003084941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004673684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007290073,0,0,0,0,0
denovo327D_0__Bacteria; D_1__Deinococcus-Thermus; D_2__Deinococci; D_3__Deinococcales; D_4__Trueperaceae; D_5__Truepera; D_6__uncultured bacterium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0,0,0,0,0.007639114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo336D_0__Bacteria; D_1__Cyanobacteria; D_2__Cyanobacteria; D_3__SubsectionII; D_4__FamilyII; D_5__Pleurocapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005601441,0,0,0,0,0,0,0,0,0,0,0.006300534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001998714,0,0,0,0,0
denovo349D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodospirillales; D_4__Rhodospirillales Incertae Sedis; D_5__Candidatus Alysiosphaera,0,0.004125989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004623135,0,0,0,0.008596216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo440D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Granulosicoccaceae; D_5__Granulosicoccus; D_6__uncultured gamma proteobacterium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0.00914627,0.001380943,0,0.008703721,0,0,0.006051342,0,0,0,0,0,0,0.003274107,0,0,0,0,0,0,0,0,0,0,0.008637296,0,0,0,0.001267178,0.003947528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787094,0,0,0,0,0
denovo468D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__Loktanella,0,0,0,0,0,0,0.00914627,0,0,0,0,0,0,0,0.002651408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001346517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo475D_0__Bacteria; D_1__Chloroflexi; D_2__KD4-96; D_3__uncultured bacterium; D_4__; D_5__; D_6__; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226988,0,0,0,0,0,0,0,0,0,0,0.006664583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006233369,0,0,0,0,0
denovo686D_0__Bacteria; D_1__Bacteroidetes; D_2__Flavobacteriia; D_3__Flavobacteriales; D_4__Cryomorphaceae; D_5__Owenweeksia; D_6__uncultured bacterium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009164422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
