,PCNM_V1,PCNM_V2,PCNM_V3,PCNM_V4,PCNM_V5,PCNM_V6
S.B57.BH,-334.011293,-204.67003,-36.2230068,18.29254,3.943931,407.3228899
S.H15.MY,441.658768,-156.52026,-91.8057209,-230.71569,-14.745644,2.2146679
A.L7.NY,-385.002992,-264.35558,-47.49361,25.38322,37.355673,-19.1590593
A.L3.NY,-431.809419,32.96079,-77.4125942,-62.92577,30.702581,9.918857
S.B68.BH,-325.211802,-204.45701,-32.5230226,21.49779,35.67661,-420.3331136
S.H29.SY,112.710111,67.40344,381.7504836,450.66113,49.946191,4.5852107
S.B01.MY,339.303098,91.96572,-340.8370062,-37.43734,321.329751,10.8250111
A.F1.MY,269.202104,-148.90608,231.2499721,-350.90899,-223.523343,-12.9783651
A.M4.BH,-383.6681,-267.0371,-46.6727764,26.68796,36.068728,-12.4233242
S.H10.MY,386.027341,-57.32799,-314.4055505,193.37204,-37.319508,2.3469291
S.B21.NY,-202.161426,479.12257,2.576886,-123.7251,-179.940357,8.7646071
S.B33.NY,-431.323378,35.41435,-77.4169188,-63.48658,30.655091,11.2794036
A.E1.MY,288.536059,-144.16079,406.2816024,-294.63919,11.197734,4.6225264
S.H33.SY,125.003052,15.26025,518.946915,157.30589,274.037712,17.8140515
A.J2.NY,-4.236743,494.41045,69.864182,-72.87198,-138.554425,-30.5300119
A.D9.SY,210.290958,29.48314,0.2958356,527.902,-248.888028,-8.6633119
A.N5.BH,-418.076784,-126.12799,-47.2315598,-17.5518,-113.616303,19.6452097
S.B14.NY,-85.11316,541.30767,-91.8764233,-129.7007,176.749233,0.1332248
A.F8.MY,386.057289,-57.32651,-314.5232422,193.10445,-36.806668,2.3679211
A.F4.MY,441.826317,-156.43903,-92.5444452,-230.2439,-14.268957,2.2466762
